"Date","Payee","Category","Amount"
"6/19/2017","Slice Pizza","Food & Dining:Restaurants","4.46"
"6/19/2017","Jim & Patty's Coffee","Dining","-2.34"
"6/19/2017","Fred M Fuel","Auto","-21.25"
"6/17/2017","NEXT ADVENTURE INC","Recreation","-23.94"
"6/17/2017","Portland Water Bureau","Utilities:Water","-238.95"
"6/17/2017","Les Schwab Tires","Auto","90.02"
"6/17/2017","NEXT ADVENTURE INC","Recreation","-4.79"
"6/17/2017","American Civil Liberties Union","Gifts & Donations:Charity","-9.69"
"6/16/2017","Etsy.com","Recreation","-59.41"
"6/16/2017","Jim & Patty's Coffee","Dining","-1.31"
"6/15/2017","Safeway","Groceries","-40.95"
"6/15/2017","COINBASE CHEAPSIDE","Financial","-371.38"
"6/15/2017","Home Depot","Household","-69.53"
"6/14/2017",""Parkrose Hardware"," Inc."","Household:Landscaping"
"6/13/2017","Community Cycling Center","Shopping:Sporting Goods","-40.19"
"6/12/2017","Nounproject.com Ca","Business Expenses","-9.57"
"6/12/2017","Penzeys Prtlnd Pearl","Groceries","-6.73"
"6/10/2017","Barber Shop","Personal Care","-169.13"
"6/10/2017","FAT TIRE FARM","Recreation","-13.14"
"6/9/2017","Tartine Lp","Work:Dining","-28.03"
"6/9/2017","Valencia Street LLC","Work:Dining","-15.12"
"6/8/2017","Rainbow Grocery","Work:Dining","-29.68"
"6/8/2017","Rainbow Grocery","Gifts Given","-35.44"
"6/8/2017","Starbucks","Dining","-3.65"
"6/8/2017","Lyft","Work:Transportation","-8.33"
"6/8/2017","Lyft","Work:Transportation","-27.72"
"6/8/2017","Tartine Lp","Work:Dining","-8.25"
"6/7/2017","STUMPTOWN PDX","Food & Dining:Coffee Shops","-1.65"
"6/7/2017","COINBASE CHEAPSIDE","Financial","-199.06"
"6/7/2017","Tartine Lp","Work:Dining","-18.77"
"6/7/2017","Johnny Foley's Irish House","Work:Dining","-18.23"
"6/7/2017","STUMPTOWN PDX","Food & Dining:Coffee Shops","-1.86"
"6/6/2017","NEW SEASONS MARKET","Groceries","-1.3"
"6/6/2017","Lyft","Work:Transportation","-27.12"
"6/6/2017","Shalimar Restaraunt Oakland","Work:Dining","-37.32"
"6/6/2017","BIKE GALLERY HW","Recreation","-10.69"
"6/6/2017","Lyft","Work:Transportation","-4.39"
"6/6/2017","Blue","Work:Dining","-2.41"
"6/6/2017","Lyft","Work:Transportation","-1.04"
"6/5/2017","Direct","Transfer","1861.74"
"6/3/2017","Fred M Fuel","Auto","-26.4"
"6/3/2017","El Guero Mexican","Work:Dining","-7.39"
"6/3/2017","Momos","Food & Dining:Restaurants","-3.39"
"6/2/2017","Taborspace","Food & Dining:Coffee Shops","-1.6"
"6/1/2017","Tusk","Food & Dining:Restaurants","-89.06"
"5/31/2017","Helen Bernhart Bakery","Dining","-17.78"
"5/30/2017","Arrangement","Gifts Given","-4.15"
"5/30/2017","Safeway","Groceries","-7.91"
"5/29/2017","Liquor Store","Entertainment","-26.37"
"5/29/2017","Albertsons","Auto:Fuel","-44.28"
"5/29/2017","Tri Met","Auto & Transport:Public Transportation","-19.05"
"5/29/2017","Bed Bath & Beyond","Household","-77.7"
"5/29/2017","Grand Central Bakery","Dining","-2.85"
"5/27/2017","Grand Central Bakery","Dining","-11.1"
"5/26/2017","T C O","Food & Dining:Alcohol & Bars","-12.23"
"5/24/2017","Arrangement","Gifts Given","-7.98"
"5/23/2017","Center Market 20","Food & Dining:Groceries","-4.16"
"5/23/2017","Center Market 20","Food & Dining:Groceries","-4.43"
"5/22/2017","Verizon Wireless","Bills & Utilities:Mobile Phone","-138.18"
"5/20/2017","NEW SEASONS MARKET","Groceries","-16.77"
"5/19/2017","Garden Fever LLC","Home:Lawn & Garden","-449.85"
"5/19/2017","BELMONT STATION","Dining","-46.12"
"5/17/2017","Radish Underground","Shopping:Clothing","-23.83"
"5/17/2017","Portland Tickets Or","Entertainment","-102.67"
"5/17/2017","American Civil Liberties Union","Gifts & Donations:Charity","-9.53"
"5/16/2017","USPS","Clothing","-5.98"
"5/16/2017","Apple","Work","-78.27"
"5/15/2017","HOLLYWOOD GROCERY O","Groceries","-10.73"
"5/15/2017","Safeway","Groceries","-18.59"
"5/15/2017","Safeway","Groceries","-5.55"
"5/15/2017","HOLLYWOOD GROCERY O","Groceries","-3.27"
"5/13/2017","Magenta Berkeley Ca","Gifts Given","32.82"
"5/13/2017","Nounproject.com Ca","Business Expenses","-9.32"
"5/13/2017","City of Portland","Auto:Parking","-0.79"
"5/11/2017","Everyday Music","Gifts Given","-74.3"
"5/11/2017","Everyday Music","Gifts Given","-0.55"
"5/11/2017","Wares","Dining","-12.33"
"5/9/2017","Ifixit.com Www Ifixit","Shopping:Electronics & Software","-34.04"
"5/8/2017","Mt Hood Meadows","Recreation","-2.82"
"5/8/2017","Skihood Ecomm Or","Health & Fitness:Sports","-39.94"
"5/8/2017","City of Portland","Auto:Parking","-1.16"
"5/8/2017","Living Room Theater","Entertainment:Movies & DVDs","-4.03"
"5/8/2017","Garden Fever LLC","Home:Lawn & Garden","-20.91"
"5/6/2017","International Male","Shopping:Clothing","-34.46"
"5/6/2017","Airbnb","Work:Lodging","-488.98"
"5/6/2017","Fred M Fuel","Auto","-25.73"
"5/5/2017","Liquor Store","Entertainment","-93.31"
"5/5/2017","BEAUMONT MARKET","Groceries","-0.56"
"5/5/2017","Direct","Transfer","3610.81"
"5/1/2017","bottles","Entertainment","-4.59"
"5/1/2017","Clark Oil","Auto & Transport:Gas & Fuel","-2.87"
"5/1/2017","Shell","Auto:Fuel","-35.02"
"5/1/2017","Lilos Bbq","Dining","-8.61"
"4/29/2017","ANNUAL FEE","Fees & Charges","-74.15"
"4/28/2017","LUCCA","Dining","-33.92"
"4/26/2017","Kaldi Demun","Food & Dining:Coffee Shops","-26.2"
"4/26/2017","Jim & Patty's Coffee","Dining","-14.4"
"4/25/2017","Portland Ap Cart","Dining","-4.46"
"4/24/2017","Schnucks","Groceries","-7.23"
"4/24/2017","Conoco","Auto:Fuel","-37.49"
"4/22/2017","STUMPTOWN PDX","Food & Dining:Coffee Shops","-2.3"
"4/22/2017","Verizon Wireless","Bills & Utilities:Mobile Phone","-141.73"
"4/21/2017","NEW SEASONS MARKET","Groceries","-54.84"
"4/20/2017","Gartner's Country Meat Market","Food & Dining:Groceries","-19.92"
"4/20/2017","Riverfront Gas","Auto:Fuel","-35.14"
"4/20/2017","Pfriem Family Brewers","Food & Dining:Alcohol & Bars","-4.49"
"4/15/2017","Universal Cycles","Shopping:Sporting Goods","-137.2"
"4/15/2017","Universal Cycles Portland","Shopping:Sporting Goods","15.05"
"4/15/2017","Pickathon LLC","Business Expenses","-302.93"
"4/15/2017","Barber Shop","Personal Care","-37.9"
"4/14/2017","City of Portland","Auto:Parking","-0.94"
"4/14/2017","Home Depot","Household","-17.68"
"4/12/2017","DO It Best","Household","-5.09"
"4/11/2017","Cracker Barrel Grocery","Groceries","-9.27"
"4/11/2017","Linnton Feed & Supply","Household:Landscaping","-4.48"
"4/11/2017","Linnton Feed & Supply","Household:Landscaping","-49.19"
"4/10/2017","Papa Murphy's","Dining","-11.68"
"4/10/2017","Mt Hood Meadows","Recreation","-43.37"
"4/10/2017","Children's Place","Gifts Given","-14.52"
"4/7/2017","BEAUMONT MARKET","Groceries","-9.05"
"4/6/2017","bottles","Entertainment","-3.83"
"4/6/2017","Garden Fever LLC","Home:Lawn & Garden","-13.77"
"4/5/2017","Intuit TurboTax","Tax","-104.65"
"4/5/2017","Transfer","Transfer","1726.5"
"4/4/2017","Mt Hood Meadows","Recreation","-43.21"
"4/3/2017","BEAUMONT MARKET","Groceries","-9.7"
"4/3/2017","Fred M Fuel","Auto","-22.19"
"4/3/2017","Fred Meyer","Groceries","-17.47"
"4/1/2017","Mt Scott Fuel","Household:Landscaping","40.45"
"3/31/2017","FAIRLEY'S PHARMACY","Medical","-185.47"
"3/30/2017","MT. SCOTT FUEL PORTLAN","Household:Landscaping","-184.8"
"3/28/2017","Alaska Air","Work:Transportation","-299.66"
"3/28/2017","Alaska Air","Work:Transportation","-300.32"
"3/28/2017","Alaska Air","Work:Transportation","-300.2"
"3/28/2017","Alaska Air","Work:Transportation","-299.52"
"3/27/2017","PORTLAND NURSERY","Household:Landscaping","-3.82"
"3/27/2017","Tst Laurelwood Brewery","Dining","-8.88"
"3/27/2017","CenturyLink","Utilities:Internet","-33.28"
"3/27/2017","Tri-Met","Entertainment","-1.77"
"3/27/2017","Coquine","Food & Dining:Restaurants","-28.58"
"3/27/2017","FLEUR DE LIS BAKERY & CAF","Dining","-2.44"
"3/27/2017","Fred Meyer","Groceries","-25.96"
"3/27/2017","City of Portland","Auto:Parking","-3.23"
"3/25/2017","Myp Sitton Elem","Charity","-124.99"
"3/25/2017","Deq Vip Ne","Auto:Registration","-144.12"
"3/25/2017","NEW SEASONS MARKET","Groceries","-25.68"
"3/25/2017","Magenta Inc","Entertainment:Art","-34.08"
"3/24/2017","Arrangement Portland Or","Gifts Given","79.84"
"3/24/2017","Portland Water Bureau","Utilities:Water","-276.61"
"3/24/2017","JetBrains","Work","-88.69"
"3/23/2017","Luc Lac Viet","Dining","-9.71"
"3/22/2017","City of Portland","Auto:Parking","-0.87"
"3/22/2017","Jamba Juice","Work:Dining","-7.53"
"3/22/2017","Verizon Wireless","Bills & Utilities:Mobile Phone","-138.56"
"3/20/2017","Verdigris","Dining","-111.52"
"3/20/2017","Damon's","Work:Dining","-57.85"
"3/20/2017","Regal Cinemas","Entertainment","-11.55"
"3/20/2017","Jim & Patty's Coffee","Dining","-2.49"
"3/20/2017","Damon's","Work:Dining","-37.42"
"3/20/2017","Regal Cinemas","Entertainment","-23.15"
"3/20/2017","Arrangement","Gifts Given","-82.3"
"3/18/2017","Lyft","Work:Transportation","-15.3"
"3/18/2017","Whole Foods","Groceries","-9.27"
"3/18/2017","American Civil Liberties Union","Gifts & Donations:Charity","-9.05"
"3/18/2017","Beaumont Florist","Gifts & Donations:Gift","-34.96"
"3/17/2017","Lyft","Work:Transportation","-16.95"
"3/17/2017","Lyft","Work:Transportation","-0.26"
"3/17/2017","The Farmers Union","Work:Dining","-29.41"
"3/17/2017","Whole Foods","Groceries","-35.34"
"3/17/2017","Lyft","Work:Transportation","-7.71"
"3/17/2017","Philz Coffee","Work:Dining","-5.82"
"3/17/2017","Lyft","Work:Transportation","-1.58"
"3/17/2017","Lyft","Work:Transportation","-3.65"
"3/17/2017","Lyft","Work:Transportation","-13.78"
"3/16/2017","Philz Coffee","Work:Dining","-10.8"
"3/16/2017","Lyft","Work:Transportation","-19.23"
"3/16/2017","Lyft","Work:Transportation","-9.47"
"3/16/2017","Offscreen Media","Entertainment","-18.02"
"3/16/2017","Lyft","Work:Transportation","-19.19"
"3/15/2017","Lyft","Work:Transportation","-9.69"
"3/15/2017","Capers Market","Food & Dining:Groceries","-13.61"
"3/15/2017","Walgreens","Medical","-2.19"
"3/15/2017","Hicklebee's Inc","Shopping:Books","-22.75"
"3/14/2017","Table","Food & Dining:Restaurants","-30.14"
"3/14/2017","Lyft","Work:Transportation","0.75"
"3/14/2017","Lyft","Work:Transportation","-7.21"
"3/14/2017","Lyft","Work:Transportation","-6.21"
"3/14/2017","Lyft","Work:Transportation","-12.9"
"3/14/2017","CHA BA THAI","Dining","-86.25"
"3/14/2017","Lyft","Work:Transportation","-12.8"
"3/14/2017","Lyft","Work:Transportation","-3"
"3/14/2017","Powells Sweet Shop","Food & Dining:Groceries","-2.89"
"3/14/2017","Souvlaki Greek Skewers","Food & Dining:Restaurants","-14.51"
"3/13/2017","Wares","Dining","-12.02"
"3/13/2017","NEW DEAL CAFE","Dining","-28.38"
"3/13/2017","Fred Meyer","Groceries","-18.65"
"3/11/2017","Lyft","Work:Transportation","-15.41"
"3/11/2017","CAT CORA","Work:Dining","-11.82"
"3/10/2017","Century Theaters","Entertainment:Movies & DVDs","-11.47"
"3/10/2017","Century Theaters","Entertainment:Movies & DVDs","-5.69"
"3/10/2017","Lyft","Work:Transportation","-10.39"
"3/10/2017","Lyft","Work:Transportation","-9.44"
"3/8/2017","Lyft","Work:Transportation","-0.86"
"3/8/2017","Lyft","Work:Transportation","-14.54"
"3/8/2017","Grand Central Bakery","Dining","-11.07"
"3/7/2017","Kiehl's","Personal Care","-15.71"
"3/6/2017","Orchard Supply","Home:Home Improvement","-32.03"
"3/6/2017","BEAUMONT MARKET","Groceries","-4.4"
"3/6/2017","BEAUMONT MARKET","Groceries","-5.72"
"3/6/2017","Cke T C","Uncategorized","-38.77"
"3/6/2017","Fred Meyer","Groceries","-121.32"
"3/6/2017","Bar Avignon Portland","Food & Dining:Restaurants","-112.38"
"3/4/2017","Transfer","Transfer","2273.09"
"3/2/2017","Garden Fever LLC","Home:Lawn & Garden","-3.07"
"3/1/2017","DO It Best","Household:Remodel","9.44"
"2/27/2017","CenturyLink","Utilities:Internet","-64.17"
"2/25/2017","Children's Place","Gifts Given","-38.04"
"2/25/2017","Grand Central Bakery","Dining","-2.08"
"2/23/2017","Fred Meyer","Groceries","-25.09"
"2/22/2017","Pip Original Doughn","Dining","-4.15"
"2/22/2017","Verizon Wireless","Bills & Utilities:Mobile Phone","-138.67"
"2/21/2017","Powell Burnside","Entertainment","-18.37"
"2/20/2017","DO It Best","Household:Remodel","-5.74"
"2/20/2017","Orchard Supply","Home:Home Improvement","-3.22"
"2/20/2017","Safeway","Groceries","-26.64"
"2/20/2017","24 Hour Fitness","Health & Fitness:Gym","45.6"
"2/20/2017","MR PLYWOOD","Household:Remodel","-19.51"
"2/20/2017","Airbnb","Vacation","-329.5"
"2/18/2017","Barber Shop","Personal Care","-38.21"
"2/18/2017","City of Portland","Auto:Parking","-1.44"
"2/18/2017","FAT TIRE FARM","Recreation","-115.38"
"2/17/2017","PORTLAND PARKS ONLINE","Recreation","-17.54"
"2/16/2017","Recreation.gov","Recreation","-5.02"
"2/16/2017","DO It Best","Household","-0.99"
"2/15/2017","Orchard Supply","Home:Home Improvement","-11.51"
"2/14/2017","Papa Murphy's","Dining","-7.12"
"2/14/2017","Mt Hood Meadows","Recreation","-9.35"
"2/14/2017","Mt Hood Meadows","Recreation","-6.23"
"2/14/2017","Mt Hood Meadows","Recreation","-9.57"
"2/13/2017","Trader Joe's","Groceries","-27.99"
"2/13/2017","Orchard Supply","Home:Home Improvement","-47.1"
"2/13/2017","Fred M Fuel","Auto","-12.72"
"2/10/2017","SAINT HONORE THURMAN","Dining","-2.68"
"2/10/2017","BEAUMONT MARKET","Groceries","-4.71"
"2/9/2017","Thrifty Car","Vacation:Travel","-341.94"
"2/9/2017","Barnes & Noble","Entertainment","15.58"
"2/9/2017",""Sprouts Farmers Markets"," LLC"","Groceries"
"2/9/2017","Lyft","Work:Transportation","-20.44"
"2/9/2017","Exxon","Auto:Fuel","-32.17"
"2/9/2017","Barnes & Noble","Entertainment","-23.11"
"2/8/2017","In San Diego","Business Expenses","-35.22"
"2/7/2017","Motorino Pizza House","Food & Dining:Restaurants","-26.25"
"2/7/2017","101 Diner","Food & Dining:Restaurants","-56.51"
"2/7/2017","San Diego Ap","Food & Dining:Groceries","-3.17"
"2/6/2017","Cabrillo Nm","Dining","-9.59"
"2/6/2017","Laz Ca St","Auto & Transport:Parking","-14.88"
"2/6/2017","Isabel's Cantina","Food & Dining:Restaurants","-102.01"
"2/6/2017","Oscar Mexican Fo","Food & Dining:Restaurants","-7.18"
"2/6/2017","Waypoint Public","Dining","-189.33"
"2/6/2017","Cold Stone Creamery","Food & Dining:Restaurants","-14.38"
"2/4/2017","Pro Photo Supply","Household","830.33"
"2/4/2017","Gelson Market","Food & Dining:Groceries","-51.97"
"2/4/2017","Mapr Tech","Personal Income:Paycheck","1130.18"
"2/4/2017",""Sprouts Farmers Markets"," LLC"","Groceries"
"2/3/2017","McDonald's","Vacation:Dining","-4.15"
"2/3/2017","Puesto La Jolla","Food & Dining:Restaurants","-69.39"
"2/3/2017","Oscar Mexican Fo","Food & Dining:Restaurants","-4.15"
"2/3/2017","Discover Your Northwest","Shopping:Books","-43.24"
"2/2/2017","Pro Photo Supply","Household","-889.66"
"2/2/2017","24 Hour Fitness","Health & Fitness:Gym","-44.84"
"2/2/2017","NEW SEASONS MARKET","Groceries","-36.5"
"2/2/2017","City of Portland","Auto:Parking","-0.81"
"2/2/2017","Arts Tax Or","Entertainment:Art","-69.84"
"2/2/2017","Arts Tax Or","Entertainment:Art","-69.62"
"2/2/2017","Pip Original Doughn","Dining","-3.53"
"1/30/2017","Hopworks Bike Bar","Food & Dining:Restaurants","-44.73"
"1/30/2017","American Civil Liberties Union","Gifts & Donations:Charity","-9.52"
"1/30/2017","ARCO","Vacation:Travel","-32.97"
"1/30/2017","Inn At Cooper Spur","Recreation","-45.71"
"1/28/2017","PORTLAND PARKS ONLINE","Recreation","-18.76"
"1/28/2017","Urban Farm Store","Pet Care","-54.32"
"1/28/2017","NEW SEASONS MARKET","Groceries","-25.11"
"1/26/2017","City of Portland","Auto:Parking","-1"
"1/25/2017","Or E Online","Bills & Utilities","-138.17"
"1/25/2017","CenturyLink","Utilities:Internet","-38.49"
"1/23/2017","Verizon Wireless","Bills & Utilities:Mobile Phone","-138.27"
"1/23/2017","Home Depot","Household","-146.79"
"1/23/2017","Whole Foods","Groceries","-3.53"
"1/23/2017","Aberus Ethiopian Restaura","Food & Dining:Restaurants","-34.16"
"1/23/2017","Whole Foods","Groceries","-7.27"
"1/21/2017","Lost Lake Resort","Recreation","-87.13"
"1/20/2017","Recreation.gov","Recreation","-50.21"
"1/16/2017","Children's Place","Gifts Given","-19.81"
"1/14/2017","Portland Water Bureau","Utilities:Water","-235.61"
"1/14/2017","Laurelhurst Market","Dining","-113.64"
"1/14/2017","Regal Cinemas","Entertainment","-23.48"
"1/7/2017","IDENTOGO","Travel","-84.32"
"1/5/2017","Mapr Tech","Personal Income:Paycheck","3583.22"
"1/4/2017","Pip Original Doughn","Dining","-4.01"
"1/4/2017","UPS","Clothing","-2.1"
"1/3/2017","24 Hour Fitness","Health & Fitness:Gym","-89.53"
"1/2/2017","REI","Recreation","-59.17"
"1/2/2017","Mt Hood Meadows","Recreation","-14.56"
"1/2/2017","Mt Hood Meadows","Recreation","-19.26"
"12/31/2016","Roseway Theatre","Entertainment","-7.15"
"12/31/2016","Ski Bowl","Recreation","-5.84"
"12/29/2016","Oregon Zoo","Entertainment","-8.97"
"12/28/2016","Washington Post","Entertainment","-2.77"
"12/28/2016","Fluidride Www Fluidridewa","Entertainment","-29.98"
"12/27/2016","City of Portland","Auto:Parking","-3.6"
"12/26/2016","BEAUMONT MARKET","Groceries","-8.08"
"12/26/2016","Verizon","Bills & Utilities:Mobile Phone","-168.24"
"12/26/2016","CenturyLink","Utilities:Internet","-38.82"
"12/26/2016","BEAUMONT MARKET","Groceries","-4.19"
"12/24/2016","City of Portland","Auto:Parking","-2.99"
"12/24/2016","Mt Hood Skibowl","Recreation","-14.43"
"12/24/2016","Salt & Straw Inc","Dining","-1.96"
"12/24/2016","Ski Bowl","Recreation","-6.43"
"12/24/2016","DO It Best","Household","-2.62"
"12/22/2016","O'Reilly Auto Parts","Auto & Transport:Service & Parts","-3.37"
"12/22/2016","Lucky","Food & Dining:Groceries","-4.45"
"12/22/2016","Trader Joe's","Groceries","-55.84"
"12/22/2016","Orchard Supply","Home:Lawn & Garden","-5.62"
"12/22/2016","Pho An Sandy","Dining","-8.68"
"12/19/2016","Chipotle","Dining","-33.77"
"12/19/2016","Home Depot","Household","-1.51"
"12/19/2016","Gartner's Country Meat Market","Food & Dining:Groceries","-42.1"
"12/19/2016","Shop Adorn LLC","Gifts Given","-54.43"
"12/19/2016","BEAUMONT MARKET","Groceries","-34.16"
"12/19/2016","Water Avenue Coffee Company","Food & Dining:Coffee Shops","-35.82"
"12/17/2016","Lyft","Work:Transportation","-22.23"
"12/17/2016","STUMPTOWN PDX","Food & Dining:Coffee Shops","-11.08"
"12/16/2016","Pdx Airport Parking","Auto:Parking","-26.19"
"12/16/2016","Portland Tickets Or","Entertainment","-60.9"
"12/16/2016","Lyft","Work:Transportation","-15.94"
"12/16/2016","GoGoAir","Travel","-4.63"
"12/15/2016","Barber Shop","Personal Care","-36.61"
"12/15/2016","Pho An Sandy","Dining","-8.88"
"12/15/2016","City of Portland","Auto:Parking","-0.98"
"12/13/2016","Fred M Fuel","Auto:Fuel","-18.21"
"12/13/2016","Spotify","Entertainment:Music","-0.43"
"12/12/2016","McDonald's","Vacation:Dining","-3.17"
"12/12/2016","Shell","Auto:Fuel","-23.35"
"12/10/2016","CAR2GO","Transportation","-4.48"
"12/9/2016","Psi Bike Ca","Uncategorized","-9.39"
"12/8/2016","Lyft","Work:Transportation","-6.9"
